
0it [00:00, ?it/s]
1it [00:00,  7.49it/s, bound: 0 | nc: 1 | ncall: 10001 | eff(%):  0.010 | loglstar:   -inf < -1416.332 <    inf | logz: -1426.235 +/-  0.031 | dlogz:    inf >  0.100]
51it [00:00, 226.87it/s, bound: 0 | nc: 1 | ncall: 10051 | eff(%):  0.507 | loglstar:   -inf < -1078.133 <    inf | logz: -1088.039 +/-  0.031 | dlogz: 1094.502 >  0.100]
101it [00:00, 293.46it/s, bound: 0 | nc: 1 | ncall: 10101 | eff(%):  1.000 | loglstar:   -inf < -963.236 <    inf | logz: -972.336 +/-  0.029 | dlogz: 973.424 >  0.100]  
149it [00:00, 320.52it/s, bound: 0 | nc: 1 | ncall: 10151 | eff(%):  1.468 | loglstar:   -inf < -877.920 <    inf | logz: -886.386 +/-  0.028 | dlogz: 886.869 >  0.100]
198it [00:00, 313.38it/s, bound: 0 | nc: 1 | ncall: 10201 | eff(%):  1.941 | loglstar:   -inf < -816.891 <    inf | logz: -826.489 +/-  0.030 | dlogz: 828.033 >  0.100]
248it [00:00, 283.50it/s, bound: 0 | nc: 1 | ncall: 10251 | eff(%):  2.419 | loglstar:   -inf < -778.684 <    inf | logz: -787.619 +/-  0.028 | dlogz: 788.404 >  0.100]
296it [00:01, 282.78it/s, bound: 0 | nc: 1 | ncall: 10301 | eff(%):  2.874 | loglstar:   -inf < -740.488 <    inf | logz: -749.039 +/-  0.028 | dlogz: 749.559 >  0.100]
341it [00:01, 285.28it/s, bound: 0 | nc: 1 | ncall: 10351 | eff(%):  3.294 | loglstar:   -inf < -709.033 <    inf | logz: -717.557 +/-  0.028 | dlogz: 718.115 >  0.100]
390it [00:01, 261.67it/s, bound: 0 | nc: 1 | ncall: 10401 | eff(%):  3.750 | loglstar:   -inf < -679.728 <    inf | logz: -688.606 +/-  0.028 | dlogz: 689.274 >  0.100]
440it [00:01, 265.00it/s, bound: 0 | nc: 1 | ncall: 10451 | eff(%):  4.210 | loglstar:   -inf < -651.225 <    inf | logz: -659.069 +/-  0.027 | dlogz: 659.337 >  0.100]
486it [00:01, 271.65it/s, bound: 0 | nc: 1 | ncall: 10501 | eff(%):  4.628 | loglstar:   -inf < -626.397 <    inf | logz: -634.725 +/-  0.027 | dlogz: 635.076 >  0.100]
533it [00:01, 271.69it/s, bound: 0 | nc: 3 | ncall: 10551 | eff(%):  5.052 | loglstar:   -inf < -605.535 <    inf | logz: -613.573 +/-  0.028 | dlogz: 613.886 >  0.100]
578it [00:02, 265.95it/s, bound: 0 | nc: 1 | ncall: 10601 | eff(%):  5.452 | loglstar:   -inf < -581.946 <    inf | logz: -590.188 +/-  0.028 | dlogz: 590.618 >  0.100]
626it [00:02, 268.83it/s, bound: 0 | nc: 1 | ncall: 10651 | eff(%):  5.877 | loglstar:   -inf < -563.228 <    inf | logz: -571.552 +/-  0.027 | dlogz: 571.993 >  0.100]
670it [00:02, 275.27it/s, bound: 0 | nc: 1 | ncall: 10701 | eff(%):  6.261 | loglstar:   -inf < -545.098 <    inf | logz: -553.423 +/-  0.027 | dlogz: 553.754 >  0.100]
718it [00:02, 272.31it/s, bound: 0 | nc: 2 | ncall: 10752 | eff(%):  6.678 | loglstar:   -inf < -526.681 <    inf | logz: -534.951 +/-  0.027 | dlogz: 535.316 >  0.100]
763it [00:02, 265.38it/s, bound: 0 | nc: 1 | ncall: 10801 | eff(%):  7.064 | loglstar:   -inf < -513.005 <    inf | logz: -521.470 +/-  0.027 | dlogz: 521.931 >  0.100]
807it [00:02, 261.71it/s, bound: 0 | nc: 2 | ncall: 10852 | eff(%):  7.436 | loglstar:   -inf < -504.078 <    inf | logz: -511.380 +/-  0.026 | dlogz: 511.492 >  0.100]
852it [00:03, 267.83it/s, bound: 0 | nc: 1 | ncall: 10901 | eff(%):  7.816 | loglstar:   -inf < -494.305 <    inf | logz: -502.210 +/-  0.026 | dlogz: 502.403 >  0.100]
895it [00:03, 257.71it/s, bound: 0 | nc: 1 | ncall: 10951 | eff(%):  8.173 | loglstar:   -inf < -483.459 <    inf | logz: -491.353 +/-  0.027 | dlogz: 491.593 >  0.100]
943it [00:03, 258.02it/s, bound: 0 | nc: 1 | ncall: 11001 | eff(%):  8.572 | loglstar:   -inf < -468.863 <    inf | logz: -476.877 +/-  0.027 | dlogz: 477.143 >  0.100]
989it [00:03, 249.49it/s, bound: 0 | nc: 1 | ncall: 11051 | eff(%):  8.949 | loglstar:   -inf < -459.147 <    inf | logz: -467.089 +/-  0.026 | dlogz: 467.286 >  0.100]
1032it [00:03, 244.02it/s, bound: 0 | nc: 1 | ncall: 11101 | eff(%):  9.296 | loglstar:   -inf < -446.373 <    inf | logz: -454.325 +/-  0.026 | dlogz: 454.521 >  0.100]
1079it [00:04, 250.49it/s, bound: 0 | nc: 2 | ncall: 11152 | eff(%):  9.675 | loglstar:   -inf < -437.171 <    inf | logz: -445.416 +/-  0.026 | dlogz: 445.728 >  0.100]
1120it [00:04, 239.56it/s, bound: 0 | nc: 1 | ncall: 11201 | eff(%):  9.999 | loglstar:   -inf < -429.338 <    inf | logz: -437.086 +/-  0.026 | dlogz: 437.204 >  0.100]
1164it [00:04, 237.01it/s, bound: 0 | nc: 1 | ncall: 11251 | eff(%): 10.346 | loglstar:   -inf < -420.291 <    inf | logz: -428.174 +/-  0.026 | dlogz: 428.313 >  0.100]
1210it [00:04, 240.43it/s, bound: 0 | nc: 2 | ncall: 11302 | eff(%): 10.706 | loglstar:   -inf < -413.136 <    inf | logz: -420.403 +/-  0.026 | dlogz: 420.464 >  0.100]
1257it [00:04, 241.00it/s, bound: 0 | nc: 1 | ncall: 11351 | eff(%): 11.074 | loglstar:   -inf < -404.473 <    inf | logz: -411.772 +/-  0.026 | dlogz: 411.834 >  0.100]
1300it [00:05, 240.25it/s, bound: 0 | nc: 2 | ncall: 11401 | eff(%): 11.403 | loglstar:   -inf < -396.650 <    inf | logz: -404.641 +/-  0.026 | dlogz: 404.816 >  0.100]
1345it [00:05, 245.05it/s, bound: 0 | nc: 1 | ncall: 11451 | eff(%): 11.746 | loglstar:   -inf < -389.248 <    inf | logz: -396.643 +/-  0.026 | dlogz: 396.712 >  0.100]
1391it [00:05, 261.82it/s, bound: 0 | nc: 2 | ncall: 11502 | eff(%): 12.094 | loglstar:   -inf < -382.695 <    inf | logz: -390.173 +/-  0.026 | dlogz: 390.252 >  0.100]
1432it [00:05, 272.27it/s, bound: 0 | nc: 3 | ncall: 11553 | eff(%): 12.395 | loglstar:   -inf < -376.811 <    inf | logz: -384.207 +/-  0.025 | dlogz: 384.263 >  0.100]
1473it [00:05, 281.90it/s, bound: 0 | nc: 1 | ncall: 11601 | eff(%): 12.697 | loglstar:   -inf < -371.716 <    inf | logz: -379.044 +/-  0.025 | dlogz: 379.083 >  0.100]
