
0it [00:00, ?it/s]
1it [00:00,  7.66it/s, bound: 0 | nc: 1 | ncall: 10001 | eff(%):  0.010 | loglstar:   -inf < -25618.568 <    inf | logz: -25628.471 +/-  0.031 | dlogz:    inf >  0.100]
51it [00:00, 244.03it/s, bound: 0 | nc: 1 | ncall: 10051 | eff(%):  0.507 | loglstar:   -inf < -11974.683 <    inf | logz: -11984.591 +/-  0.031 | dlogz: 12064.680 >  0.100]
101it [00:00, 323.06it/s, bound: 0 | nc: 1 | ncall: 10101 | eff(%):  1.000 | loglstar:   -inf < -9520.763 <    inf | logz: -9530.671 +/-  0.031 | dlogz: 9540.589 >  0.100]  
149it [00:00, 317.77it/s, bound: 0 | nc: 1 | ncall: 10151 | eff(%):  1.468 | loglstar:   -inf < -8113.271 <    inf | logz: -8123.189 +/-  0.031 | dlogz: 8182.234 >  0.100]
198it [00:00, 310.34it/s, bound: 0 | nc: 1 | ncall: 10201 | eff(%):  1.941 | loglstar:   -inf < -7179.948 <    inf | logz: -7188.883 +/-  0.030 | dlogz: 7194.091 >  0.100]
247it [00:00, 308.07it/s, bound: 0 | nc: 2 | ncall: 10252 | eff(%):  2.409 | loglstar:   -inf < -6193.708 <    inf | logz: -6203.636 +/-  0.032 | dlogz: 6219.179 >  0.100]
293it [00:01, 287.86it/s, bound: 0 | nc: 1 | ncall: 10301 | eff(%):  2.844 | loglstar:   -inf < -5604.768 <    inf | logz: -5614.701 +/-  0.032 | dlogz: 5634.824 >  0.100]
341it [00:01, 317.24it/s, bound: 0 | nc: 1 | ncall: 10351 | eff(%):  3.294 | loglstar:   -inf < -4990.140 <    inf | logz: -5000.069 +/-  0.031 | dlogz: 5009.401 >  0.100]
389it [00:01, 320.54it/s, bound: 0 | nc: 1 | ncall: 10401 | eff(%):  3.740 | loglstar:   -inf < -4646.917 <    inf | logz: -4656.154 +/-  0.030 | dlogz: 4661.544 >  0.100]
439it [00:01, 328.01it/s, bound: 0 | nc: 1 | ncall: 10451 | eff(%):  4.201 | loglstar:   -inf < -4287.004 <    inf | logz: -4296.952 +/-  0.032 | dlogz: 4311.960 >  0.100]
489it [00:01, 330.59it/s, bound: 0 | nc: 1 | ncall: 10501 | eff(%):  4.657 | loglstar:   -inf < -3933.743 <    inf | logz: -3943.450 +/-  0.030 | dlogz: 3949.693 >  0.100]
536it [00:01, 331.45it/s, bound: 0 | nc: 2 | ncall: 10551 | eff(%):  5.080 | loglstar:   -inf < -3713.996 <    inf | logz: -3723.871 +/-  0.031 | dlogz: 3730.776 >  0.100]
584it [00:01, 349.37it/s, bound: 0 | nc: 1 | ncall: 10601 | eff(%):  5.509 | loglstar:   -inf < -3479.395 <    inf | logz: -3489.078 +/-  0.030 | dlogz: 3495.164 >  0.100]
629it [00:01, 337.24it/s, bound: 0 | nc: 1 | ncall: 10651 | eff(%):  5.906 | loglstar:   -inf < -3319.631 <    inf | logz: -3329.586 +/-  0.031 | dlogz: 3338.724 >  0.100]
673it [00:02, 314.54it/s, bound: 0 | nc: 1 | ncall: 10701 | eff(%):  6.289 | loglstar:   -inf < -3116.557 <    inf | logz: -3126.335 +/-  0.030 | dlogz: 3132.348 >  0.100]
720it [00:02, 311.45it/s, bound: 0 | nc: 1 | ncall: 10751 | eff(%):  6.697 | loglstar:   -inf < -2956.811 <    inf | logz: -2966.709 +/-  0.031 | dlogz: 2973.991 >  0.100]
768it [00:02, 318.94it/s, bound: 0 | nc: 1 | ncall: 10801 | eff(%):  7.110 | loglstar:   -inf < -2821.973 <    inf | logz: -2831.712 +/-  0.030 | dlogz: 2837.884 >  0.100]
